"id","Source"
"cluster_91_trimmed","novel_integrase"
"cluster_92_trimmed","novel_integrase"
"cluster_93_trimmed","novel_integrase"
"cluster_94_trimmed","novel_integrase"
"cluster_95_trimmed","novel_integrase"
"cluster_96_trimmed","novel_integrase"
"cluster_97_trimmed","novel_integrase"
"cluster_98_trimmed","novel_integrase"
"cluster_99_trimmed","novel_integrase"
"cluster_9_trimmed","novel_integrase"
"PC0_trimmed","Bellas_integrases"
"PC1807_trimmed","Bellas_integrases"
"PC191_trimmed","Bellas_integrases"
"PC212_trimmed","Bellas_integrases"
"PC280_trimmed","Bellas_integrases"
"PC330_trimmed","Bellas_integrases"
"PC413_trimmed","Bellas_integrases"
"PC549_trimmed","Bellas_integrases"
"Phage_integrase","Phage_integrase"
"PGVV_like_and_related_Yrec_profile_trimmed","PGVV"
"Int141","Danae"
"Int1547","Danae"
1551,"Danae"
"Int156","Danae"
"Int212","Danae"
397,"Danae"
"INT471","Danae"
"Int665","Danae"
